Gene	Cytoband	(A) Negative	(B) Positive	(A) Negative	(B) Positive	Log2 Ratio	p-Value	q-Value	Higher expression in
ZBED4	22q13.33	0.35	-0.02	0.39	0.45	0.37	3.86e-16	4.30e-15	(A) Negative
LMX1B	9q33.3	0.61	1.25	0.70	0.61	-0.64	4.03e-16	4.49e-15	(B) Positive
LTC4S	5q35.3	1.67	2.27	0.66	0.52	-0.60	4.06e-16	4.53e-15	(B) Positive
ZNF263	16p13.3	-0.04	0.53	0.61	0.63	-0.57	4.16e-16	4.62e-15	(B) Positive
GIN1	5q21.1	-0.62	-0.16	0.50	0.46	-0.46	4.23e-16	4.70e-15	(B) Positive
PDXK	21q22.3	0.19	-0.38	0.64	0.40	0.57	4.32e-16	4.80e-15	(A) Negative
CDKL3	5q31.1	-0.48	0.08	0.61	0.55	-0.56	4.43e-16	4.92e-15	(B) Positive
CAPN9	1q42.2	-0.92	0.54	1.57	1.56	-1.46	4.51e-16	5.00e-15	(B) Positive
PITPNM2	12q24.31	-0.56	-1.04	0.52	0.51	0.48	4.52e-16	5.02e-15	(A) Negative
TXNDC5	6p24.3	-0.30	-0.87	0.62	0.55	0.57	4.65e-16	5.15e-15	(A) Negative
HPN	19q13.11	-0.74	0.66	1.55	1.23	-1.40	4.73e-16	5.24e-15	(B) Positive
RAB11A	15q22.31	0.33	0.81	0.53	0.48	-0.48	4.86e-16	5.38e-15	(B) Positive
COA3	17q21.2	0.21	0.76	0.60	0.59	-0.56	4.87e-16	5.39e-15	(B) Positive
POLK	5q13.3	-0.61	-0.21	0.43	0.45	-0.41	5.03e-16	5.56e-15	(B) Positive
LDHD	16q23.1	-0.78	0.13	0.98	0.97	-0.91	5.04e-16	5.57e-15	(B) Positive
C1ORF21	1q25.3	0.21	0.98	0.84	0.77	-0.77	5.08e-16	5.61e-15	(B) Positive
NEDD4L	18q21.31	-1.10	-0.36	0.79	0.87	-0.75	5.17e-16	5.71e-15	(B) Positive
RRP36	6p21.1	-0.05	-0.46	0.46	0.38	0.41	5.21e-16	5.75e-15	(A) Negative
NETO2	16q12.1	-0.51	-1.59	1.15	1.27	1.08	5.32e-16	5.86e-15	(A) Negative
ABCC11	16q12.1	1.29	3.42	2.38	1.65	-2.13	5.37e-16	5.92e-15	(B) Positive
FBXW4	10q24.32	0.25	0.78	0.57	0.60	-0.53	5.39e-16	5.93e-15	(B) Positive
BPI	20q11.23	1.32	0.08	1.42	0.57	1.24	5.42e-16	5.96e-15	(A) Negative
ADCY7	16q12.1	0.09	-0.61	0.77	0.69	0.71	5.53e-16	6.08e-15	(A) Negative
TUSC2	3p21.31	0.00	0.43	0.47	0.42	-0.43	5.54e-16	6.08e-15	(B) Positive
HCRTR1	1p35.2	0.44	0.06	0.42	0.36	0.38	5.54e-16	6.09e-15	(A) Negative
TNFRSF13C	22q13.2	0.30	-0.41	0.79	0.62	0.71	5.59e-16	6.13e-15	(A) Negative
CAPN13	2p23.1	1.74	3.68	2.21	1.15	-1.94	5.61e-16	6.15e-15	(B) Positive
KIF5C	2q23.1-q23.2	0.00	0.58	0.60	0.72	-0.58	5.63e-16	6.17e-15	(B) Positive
SPAST	2p22.3	0.54	0.09	0.50	0.39	0.45	5.65e-16	6.19e-15	(A) Negative
PPP2R3A	3q22.2-q22.3	1.31	0.54	0.83	0.79	0.76	5.77e-16	6.31e-15	(A) Negative
CCDC50	3q28	-0.28	-0.80	0.57	0.55	0.53	5.90e-16	6.45e-15	(A) Negative
TROAP	12q13.12	-1.16	-1.65	0.50	0.62	0.48	6.02e-16	6.58e-15	(A) Negative
CDON	11q24.2	-0.55	0.09	0.66	0.80	-0.64	6.02e-16	6.58e-15	(B) Positive
ABCG1	21q22.3	0.75	1.61	0.95	0.79	-0.86	6.07e-16	6.63e-15	(B) Positive
C15ORF39	15q24.2	-0.27	-0.87	0.65	0.66	0.60	6.10e-16	6.66e-15	(A) Negative
TIPARP	3q25.31	-0.70	-0.07	0.66	0.78	-0.63	6.14e-16	6.69e-15	(B) Positive
TYRO3	15q15.1	-1.17	-1.74	0.62	0.60	0.57	6.23e-16	6.79e-15	(A) Negative
WDR12	2q33.2	-0.84	-1.37	0.60	0.41	0.54	6.29e-16	6.85e-15	(A) Negative
SLC5A6	2p23.3	0.73	-0.14	0.98	0.69	0.87	6.46e-16	7.02e-15	(A) Negative
FLYWCH2	16p13.3	0.21	0.80	0.66	0.52	-0.59	6.47e-16	7.03e-15	(B) Positive
VEZF1	17q22	0.08	0.66	0.65	0.54	-0.59	6.51e-16	7.07e-15	(B) Positive
MEGF9	9q33.2	0.88	1.77	0.98	0.85	-0.89	6.51e-16	7.07e-15	(B) Positive
KIF23	15q23	-1.25	-2.02	0.82	0.88	0.76	6.54e-16	7.10e-15	(A) Negative
RBL1	20q11.23	-0.85	-1.49	0.70	0.61	0.64	6.72e-16	7.29e-15	(A) Negative
NPY4R	10q11.22	0.39	0.18	0.22	0.23	0.21	6.76e-16	7.33e-15	(A) Negative
CHST8	19q13.11	-1.08	0.51	1.67	1.96	-1.59	6.79e-16	7.36e-15	(B) Positive
RDX	11q22.3	-1.22	-1.87	0.71	0.68	0.65	6.81e-16	7.37e-15	(A) Negative
NELL2	12q12	0.20	1.84	1.67	2.21	-1.64	6.84e-16	7.40e-15	(B) Positive
CCL7	17q12	2.67	1.12	1.70	1.52	1.55	6.87e-16	7.43e-15	(A) Negative
TEX30	13q33.1	-0.63	-1.43	0.91	0.59	0.80	6.88e-16	7.43e-15	(A) Negative
IL32	16p13.3	0.59	-0.22	0.91	0.70	0.81	7.03e-16	7.60e-15	(A) Negative
RFC4	3q27.3	-1.17	-1.93	0.85	0.59	0.76	7.12e-16	7.69e-15	(A) Negative
GSTA5	6p12.2	0.63	-0.86	1.69	1.08	1.50	7.23e-16	7.80e-15	(A) Negative
COMMD2	3q25.1	0.03	-0.61	0.73	0.42	0.64	7.27e-16	7.84e-15	(A) Negative
EPHB6	7q34	-1.75	-2.69	1.06	0.63	0.94	7.29e-16	7.86e-15	(A) Negative
RASA1	5q14.3	-0.52	0.00	0.55	0.66	-0.53	7.33e-16	7.89e-15	(B) Positive
ECI1	16p13.3	-0.31	0.32	0.70	0.60	-0.63	7.41e-16	7.97e-15	(B) Positive
ALG3	3q27.1	-0.20	-0.63	0.47	0.46	0.43	7.47e-16	8.03e-15	(A) Negative
LY6G6C	6p21.33	-0.40	0.19	0.54	0.98	-0.59	7.63e-16	8.20e-15	(B) Positive
CARD10	22q13.1	-0.79	-0.22	0.62	0.56	-0.57	7.76e-16	8.33e-15	(B) Positive
SERTAD3	19q13.2	1.14	1.78	0.72	0.58	-0.64	7.92e-16	8.49e-15	(B) Positive
MROH8	20q11.23	-0.75	-0.27	0.48	0.64	-0.47	7.92e-16	8.50e-15	(B) Positive
DPY19L2P4	7q21.13	-0.71	0.25	0.91	1.51	-0.95	7.93e-16	8.50e-15	(B) Positive
SMURF2	17q23.3-q24.1	0.19	-0.43	0.68	0.65	0.63	7.99e-16	8.56e-15	(A) Negative
TUBA8	22q11.21	1.08	0.65	0.47	0.44	0.43	8.20e-16	8.78e-15	(A) Negative
PIGV	1p36.11	-0.47	0.07	0.59	0.56	-0.54	8.23e-16	8.80e-15	(B) Positive
MAMLD1	Xq28	-0.52	-1.64	1.27	0.86	1.12	8.23e-16	8.80e-15	(A) Negative
PRKCD	3p21.1	1.10	1.63	0.58	0.56	-0.53	8.27e-16	8.83e-15	(B) Positive
TBC1D7	6p24.1	-0.91	-1.45	0.60	0.51	0.54	8.40e-16	8.97e-15	(A) Negative
DGKG	3q27.2-q27.3	-0.44	-1.32	1.00	0.67	0.88	8.54e-16	9.11e-15	(A) Negative
TPPP3	16q22.1	1.90	2.83	1.02	0.92	-0.92	8.71e-16	9.29e-15	(B) Positive
RTN2	19q13.32	-0.25	0.60	0.94	0.78	-0.84	8.71e-16	9.29e-15	(B) Positive
PYM1	12q13.2	0.07	0.52	0.50	0.38	-0.45	8.74e-16	9.31e-15	(B) Positive
EXT1	8q24.11	0.50	-0.02	0.58	0.51	0.52	8.75e-16	9.31e-15	(A) Negative
ZNF609	15q22.1	-0.14	0.33	0.52	0.51	-0.47	8.86e-16	9.42e-15	(B) Positive
CRTAP	3p22.3	-0.55	-0.08	0.52	0.45	-0.47	8.88e-16	9.44e-15	(B) Positive
VPS39	15q15.1	0.10	0.48	0.42	0.37	-0.38	8.94e-16	9.50e-15	(B) Positive
LFNG	7p22.3	0.82	1.78	1.08	0.90	-0.97	9.16e-16	9.73e-15	(B) Positive
TAC1	7q21.3	0.07	1.00	0.93	1.34	-0.93	9.26e-16	9.82e-15	(B) Positive
RASD2	22q12.3	0.99	0.20	0.91	0.52	0.79	9.37e-16	9.94e-15	(A) Negative
PCDH1	5q31.3	0.94	1.42	0.52	0.50	-0.48	9.38e-16	9.94e-15	(B) Positive
KIF15	3p21.31	-1.60	-2.45	0.90	1.01	0.85	9.46e-16	1.00e-14	(A) Negative
DAZAP1	19p13.3	0.11	-0.21	0.34	0.36	0.32	9.51e-16	1.01e-14	(A) Negative
NOS1AP	1q23.3	-0.86	-0.11	0.77	1.01	-0.75	9.54e-16	1.01e-14	(B) Positive
MPZL1	1q24.2	1.35	0.81	0.60	0.56	0.54	9.65e-16	1.02e-14	(A) Negative
MYO1E	15q22.2	-0.00	-0.53	0.57	0.59	0.53	9.81e-16	1.04e-14	(A) Negative
KIFBP	10q22.1	0.25	0.80	0.60	0.59	-0.55	9.88e-16	1.04e-14	(B) Positive
URB2	1q42.13	0.29	-0.27	0.62	0.52	0.56	9.93e-16	1.05e-14	(A) Negative
ZIC4	3q24	0.56	-0.18	0.85	0.43	0.74	9.95e-16	1.05e-14	(A) Negative
HID1	17q25.1	0.96	1.79	0.93	0.68	-0.83	1.00e-15	1.05e-14	(B) Positive
NEURL1	10q24.33	-0.62	0.71	1.47	1.38	-1.34	1.00e-15	1.06e-14	(B) Positive
COQ5	12q24.31	-0.47	-0.03	0.49	0.40	-0.44	1.00e-15	1.06e-14	(B) Positive
TMEM141	9q34.3	-0.04	0.58	0.70	0.56	-0.63	1.02e-15	1.07e-14	(B) Positive
OTX1	2p15	0.38	-0.45	0.94	0.69	0.83	1.02e-15	1.07e-14	(A) Negative
SLC6A16	19q13.33	0.45	-0.43	0.98	0.82	0.88	1.02e-15	1.07e-14	(A) Negative
MSH3	5q14.1	-0.54	-0.03	0.55	0.55	-0.51	1.03e-15	1.08e-14	(B) Positive
ALDH1A3	15q26.3	1.61	0.54	1.17	1.15	1.07	1.03e-15	1.08e-14	(A) Negative
DZIP1	13q32.1	-1.15	-2.02	0.98	0.81	0.87	1.04e-15	1.09e-14	(A) Negative
ZMIZ2	7p13	0.98	0.55	0.48	0.44	0.44	1.06e-15	1.11e-14	(A) Negative
TSPYL5	8q22.1	3.05	1.59	1.59	1.61	1.46	1.07e-15	1.12e-14	(A) Negative
PAQR3	4q21.21	-0.52	-1.14	0.68	0.63	0.62	1.08e-15	1.13e-14	(A) Negative
CMTM7	3p22.3	0.78	-0.39	1.33	0.95	1.17	1.09e-15	1.14e-14	(A) Negative
GOPC	6q22.1	0.63	0.21	0.46	0.42	0.42	1.10e-15	1.15e-14	(A) Negative
CDC123	10p14-p13	0.05	-0.56	0.70	0.45	0.61	1.12e-15	1.17e-14	(A) Negative
SLC39A12	10p12.33	1.43	0.21	1.43	0.50	1.23	1.13e-15	1.18e-14	(A) Negative
CELF4	18q12.2	0.58	-0.19	0.86	0.67	0.76	1.14e-15	1.19e-14	(A) Negative
GBP1	1p22.2	3.26	2.01	1.38	1.23	1.24	1.17e-15	1.22e-14	(A) Negative
ELMOD3	2p11.2	0.27	0.71	0.49	0.43	-0.44	1.17e-15	1.22e-14	(B) Positive
CHI3L2	1p13.2	1.51	-0.28	2.00	1.66	1.78	1.18e-15	1.23e-14	(A) Negative
RRP1	21q22.3	-0.19	-0.63	0.50	0.41	0.44	1.19e-15	1.24e-14	(A) Negative
COQ4	9q34.11	-0.12	0.43	0.63	0.45	-0.55	1.19e-15	1.24e-14	(B) Positive
NXPH3	17q21.33	0.29	0.76	0.48	0.69	-0.48	1.19e-15	1.24e-14	(B) Positive
HAGHL	16p13.3	-0.74	0.04	0.85	0.88	-0.78	1.21e-15	1.26e-14	(B) Positive
PREP	6q21	0.29	-0.25	0.59	0.57	0.54	1.21e-15	1.26e-14	(A) Negative
FUCA1	1p36.11	0.60	1.26	0.74	0.65	-0.67	1.26e-15	1.31e-14	(B) Positive
MASTL	10p12.1	-0.99	-1.75	0.86	0.70	0.76	1.28e-15	1.33e-14	(A) Negative
STK38	6p21.31	0.45	-0.14	0.65	0.55	0.59	1.29e-15	1.34e-14	(A) Negative
AMIGO2	12q13.11	-1.44	-0.24	1.27	1.45	-1.19	1.30e-15	1.35e-14	(B) Positive
DLAT	11q23.1	-0.19	-0.62	0.48	0.40	0.43	1.34e-15	1.39e-14	(A) Negative
SMOC2	6q27	4.08	4.78	0.78	0.67	-0.70	1.34e-15	1.39e-14	(B) Positive
TEAD4	12p13.33	-0.11	-0.81	0.79	0.64	0.71	1.34e-15	1.39e-14	(A) Negative
AP3B1	5q14.1	-0.20	0.15	0.39	0.36	-0.35	1.37e-15	1.41e-14	(B) Positive
UEVLD	11p15.1	0.20	0.72	0.58	0.52	-0.52	1.37e-15	1.41e-14	(B) Positive
LIAS	4p14	-1.15	-0.62	0.59	0.52	-0.53	1.38e-15	1.42e-14	(B) Positive
SMO	7q32.1	-0.08	-1.15	1.21	0.95	1.07	1.41e-15	1.45e-14	(A) Negative
NAA38	17p13.1	-0.09	0.37	0.49	0.59	-0.46	1.42e-15	1.46e-14	(B) Positive
SPHK1	17q25.1	0.41	-0.43	0.93	0.88	0.84	1.42e-15	1.46e-14	(A) Negative
CENPL	1q25.1	-0.20	-0.77	0.61	0.65	0.56	1.42e-15	1.47e-14	(A) Negative
UCHL3	13q22.2	0.38	-0.12	0.55	0.47	0.50	1.43e-15	1.47e-14	(A) Negative
MANBAL	20q11.23	0.06	0.43	0.41	0.42	-0.37	1.44e-15	1.48e-14	(B) Positive
UGT2B15	4q13.2	-3.46	-1.92	1.61	2.05	-1.54	1.45e-15	1.49e-14	(B) Positive
PLAC9	10q22.3	-0.18	0.80	1.06	1.16	-0.98	1.47e-15	1.51e-14	(B) Positive
ALKBH1	14q24.3	-0.13	0.27	0.44	0.46	-0.41	1.47e-15	1.51e-14	(B) Positive
SREBF1	17p11.2	0.30	1.18	0.98	0.91	-0.88	1.47e-15	1.51e-14	(B) Positive
AURKA	20q13.2	-1.41	-2.08	0.70	0.89	0.67	1.50e-15	1.53e-14	(A) Negative
ELAPOR1	1p13.3	1.37	2.93	1.79	1.05	-1.55	1.50e-15	1.54e-14	(B) Positive
UPF3B	Xq24	-0.71	-1.35	0.72	0.53	0.64	1.51e-15	1.54e-14	(A) Negative
RIPK3	14q12	2.74	3.56	0.91	0.85	-0.82	1.51e-15	1.54e-14	(B) Positive
FBXL9P	16q22.1	0.14	0.57	0.46	0.54	-0.43	1.52e-15	1.55e-14	(B) Positive
SLC6A4	17q11.2	-1.80	-0.21	1.47	2.67	-1.59	1.52e-15	1.55e-14	(B) Positive
RAB40C	16p13.3	0.35	0.69	0.38	0.38	-0.34	1.54e-15	1.58e-14	(B) Positive
TOM1L2	17p11.2	0.13	0.63	0.55	0.50	-0.50	1.55e-15	1.58e-14	(B) Positive
JMJD4	1q42.13	0.91	0.36	0.61	0.56	0.55	1.55e-15	1.58e-14	(A) Negative
MTHFR	1p36.22	-0.32	0.30	0.67	0.75	-0.62	1.55e-15	1.58e-14	(B) Positive
FAM135A	6q13	0.02	-0.75	0.85	0.80	0.77	1.57e-15	1.60e-14	(A) Negative
SPATA6L	9p24.2-p24.1	0.29	1.27	1.07	1.13	-0.98	1.59e-15	1.62e-14	(B) Positive
KRR1	12q21.2	-0.27	0.17	0.49	0.44	-0.44	1.62e-15	1.65e-14	(B) Positive
SMUG1	12q13.13	-0.19	0.23	0.47	0.44	-0.42	1.63e-15	1.66e-14	(B) Positive
RPS19	19q13.2	0.23	-0.29	0.59	0.48	0.52	1.63e-15	1.66e-14	(A) Negative
ETNK2	1q32.1	-0.26	0.76	1.14	1.03	-1.02	1.64e-15	1.67e-14	(B) Positive
ANKRD11	16q24.3	-0.33	-0.95	0.69	0.56	0.61	1.65e-15	1.68e-14	(A) Negative
WNT10A	2q35	1.09	0.07	1.15	0.91	1.02	1.68e-15	1.70e-14	(A) Negative
TNFRSF10C	8p21.3	0.25	0.91	0.65	0.98	-0.65	1.70e-15	1.72e-14	(B) Positive
OLFM2	19p13.2	1.21	0.64	0.64	0.52	0.57	1.72e-15	1.75e-14	(A) Negative
TBC1D22B	6p21.2	0.26	-0.21	0.53	0.46	0.47	1.77e-15	1.79e-14	(A) Negative
LYNX1	8q24.3	1.31	0.63	0.78	0.61	0.68	1.79e-15	1.82e-14	(A) Negative
APBB3	5q31.3	-0.79	-0.25	0.60	0.56	-0.54	1.83e-15	1.86e-14	(B) Positive
DNAJB11	3q27.3	0.67	0.13	0.62	0.51	0.55	1.87e-15	1.89e-14	(A) Negative
MCTP2	15q26.2	-0.58	-1.57	1.13	0.86	0.99	1.87e-15	1.89e-14	(A) Negative
UGGT1	2q14.3	0.31	-0.27	0.65	0.56	0.58	1.94e-15	1.96e-14	(A) Negative
MFAP3L	4q33	1.41	0.57	0.93	0.88	0.84	1.97e-15	1.99e-14	(A) Negative
ARRB1	11q13.4	-0.01	0.58	0.63	0.73	-0.59	1.97e-15	1.99e-14	(B) Positive
DNAJC17	15q15.1	0.08	0.59	0.58	0.49	-0.51	1.99e-15	2.01e-14	(B) Positive
PTCH1	9q22.32	-0.74	-1.31	0.63	0.57	0.57	2.00e-15	2.01e-14	(A) Negative
TAFA3	1p13.2	1.57	-0.03	1.87	0.80	1.60	2.01e-15	2.03e-14	(A) Negative
ERICH3	1p31.1	0.50	1.29	0.77	1.24	-0.79	2.03e-15	2.04e-14	(B) Positive
ZNF546	19q13.2	-0.38	-0.03	0.39	0.37	-0.35	2.04e-15	2.06e-14	(B) Positive
A2ML1	12p13.31	1.13	0.47	0.75	0.63	0.66	2.04e-15	2.06e-14	(A) Negative
PCM1	8p22	-0.54	0.09	0.67	0.82	-0.63	2.05e-15	2.06e-14	(B) Positive
CCNP	19q13.2	0.72	1.53	0.85	1.11	-0.82	2.05e-15	2.06e-14	(B) Positive
COQ7	16p12.3	-0.09	0.41	0.57	0.50	-0.51	2.07e-15	2.08e-14	(B) Positive
ZNF599	19q13.11	-0.04	0.64	0.76	0.73	-0.68	2.14e-15	2.15e-14	(B) Positive
SH3BP1	22q13.1	0.51	0.14	0.40	0.40	0.36	2.15e-15	2.15e-14	(A) Negative
TBC1D9B	5q35.3	-0.03	0.39	0.47	0.39	-0.42	2.19e-15	2.20e-14	(B) Positive
RELT	11q13.4	-0.52	-0.96	0.48	0.50	0.44	2.21e-15	2.22e-14	(A) Negative
PFDN2	1q23.3	0.77	0.23	0.61	0.49	0.54	2.22e-15	2.22e-14	(A) Negative
ANKRD36BP1	1q24.2	1.28	0.28	1.16	0.78	1.00	2.25e-15	2.25e-14	(A) Negative
GTPBP8	3q13.2	0.02	-0.44	0.52	0.47	0.46	2.37e-15	2.37e-14	(A) Negative
POLR3G	5q14.3	-1.92	-2.72	0.93	0.66	0.81	2.38e-15	2.38e-14	(A) Negative
CIAO1	2q11.2	-0.42	-0.84	0.48	0.39	0.42	2.40e-15	2.40e-14	(A) Negative
FANCE	6p21.31	-0.77	-1.49	0.83	0.63	0.72	2.41e-15	2.41e-14	(A) Negative
PLA2G4F	15q15.1	0.33	0.85	0.55	0.65	-0.51	2.44e-15	2.43e-14	(B) Positive
IMPA2	18p11.21	-0.00	-1.11	1.27	0.92	1.11	2.49e-15	2.48e-14	(A) Negative
PUS7	7q22.3	-0.42	-1.04	0.72	0.49	0.62	2.49e-15	2.48e-14	(A) Negative
TRDMT1	10p13	-0.02	-0.83	0.93	0.59	0.81	2.51e-15	2.50e-14	(A) Negative
PIM1	6p21.2	-0.93	-1.56	0.72	0.56	0.63	2.53e-15	2.52e-14	(A) Negative
AKAP9	7q21.2	0.04	0.44	0.41	0.59	-0.40	2.53e-15	2.52e-14	(B) Positive
MOCS2	5q11.2	-0.84	-0.27	0.63	0.63	-0.57	2.53e-15	2.52e-14	(B) Positive
MUTYH	1p34.1	-0.51	-0.92	0.47	0.39	0.41	2.53e-15	2.52e-14	(A) Negative
DYSF	2p13.2	1.53	1.06	0.52	0.52	0.47	2.55e-15	2.54e-14	(A) Negative
TMEM170A	16q23.1	-0.23	-0.75	0.59	0.52	0.52	2.56e-15	2.54e-14	(A) Negative
COL9A3	20q13.33	-1.88	-3.69	2.10	1.33	1.81	2.57e-15	2.55e-14	(A) Negative
OPN3	1q43	-0.09	-0.94	0.95	0.94	0.86	2.62e-15	2.60e-14	(A) Negative
EID1	15q21.1	0.17	0.72	0.62	0.53	-0.55	2.64e-15	2.61e-14	(B) Positive
TMEM171	5q13.2	-0.38	-1.22	0.97	0.64	0.84	2.69e-15	2.66e-14	(A) Negative
ACTR3B	7q36.1-q36.2	0.43	-0.32	0.87	0.54	0.75	2.69e-15	2.66e-14	(A) Negative
ESYT3	3q22.3	0.03	-0.96	1.13	0.84	0.99	2.71e-15	2.68e-14	(A) Negative
IDUA	4p16.3	0.08	0.80	0.81	0.65	-0.71	2.71e-15	2.68e-14	(B) Positive
GALC	14q31.3	0.78	1.31	0.58	0.67	-0.53	2.75e-15	2.71e-14	(B) Positive
BAK1	6p21.31	0.39	-0.08	0.53	0.51	0.48	2.75e-15	2.72e-14	(A) Negative
RHOT2	16p13.3	-0.74	-0.35	0.42	0.50	-0.39	2.82e-15	2.79e-14	(B) Positive
SMYD2	1q32.3	0.50	0.04	0.51	0.53	0.46	2.88e-15	2.85e-14	(A) Negative
ZNF516	18q23	-0.45	0.57	1.16	0.95	-1.02	2.90e-15	2.85e-14	(B) Positive
CEP170	1q43	0.04	-0.53	0.65	0.50	0.57	2.90e-15	2.86e-14	(A) Negative
H1-5	6p22.1	-0.41	-1.45	1.14	1.26	1.04	2.92e-15	2.87e-14	(A) Negative
RNF24	20p13	-0.02	-0.60	0.62	0.74	0.58	2.92e-15	2.88e-14	(A) Negative
LSM6	4q31.22	-0.05	-0.53	0.55	0.42	0.48	2.93e-15	2.88e-14	(A) Negative
GPER1	7p22.3	-2.39	-1.34	1.08	1.55	-1.06	2.97e-15	2.92e-14	(B) Positive
NUDT4	12q22	-0.26	0.33	0.66	0.63	-0.59	2.98e-15	2.92e-14	(B) Positive
RLIM	Xq13.2	-0.03	-0.45	0.48	0.38	0.42	3.10e-15	3.04e-14	(A) Negative
KRT6B	12q13.13	4.32	2.59	1.84	2.28	1.73	3.13e-15	3.07e-14	(A) Negative
RASSF4	10q11.21	1.22	0.26	1.10	0.87	0.96	3.19e-15	3.13e-14	(A) Negative
RTN4R	22q11.21	0.79	0.11	0.77	0.68	0.68	3.22e-15	3.15e-14	(A) Negative
SIN3B	19p13.11	-0.00	-0.46	0.51	0.50	0.46	3.22e-15	3.16e-14	(A) Negative
TNRC6C	17q25.3	0.12	0.49	0.40	0.44	-0.36	3.24e-15	3.18e-14	(B) Positive
ID4	6p22.3	1.79	0.12	1.92	1.51	1.68	3.30e-15	3.23e-14	(A) Negative
UQCC1	20q11.22	-0.76	-0.28	0.53	0.52	-0.48	3.33e-15	3.25e-14	(B) Positive
KDM8	16p12.1	-0.29	0.11	0.44	0.42	-0.39	3.37e-15	3.29e-14	(B) Positive
EFNA4	1q21.3	1.62	0.98	0.67	0.91	0.64	3.39e-15	3.31e-14	(A) Negative
ATAD5	17q11.2	-1.37	-2.08	0.80	0.73	0.71	3.42e-15	3.34e-14	(A) Negative
CHIC2	4q12	0.95	0.50	0.52	0.44	0.46	3.47e-15	3.38e-14	(A) Negative
PRKAG1	12q13.12	-0.33	0.19	0.59	0.55	-0.52	3.47e-15	3.38e-14	(B) Positive
PHYKPL	5q35.3	-0.42	0.02	0.50	0.40	-0.44	3.49e-15	3.40e-14	(B) Positive
NCK2	2q12.2	0.74	0.21	0.61	0.51	0.53	3.51e-15	3.42e-14	(A) Negative
CXADR	21q21.1	0.33	-0.80	1.26	1.26	1.13	3.62e-15	3.52e-14	(A) Negative
DCAF8	1q23.2	0.41	0.83	0.46	0.46	-0.42	3.63e-15	3.53e-14	(B) Positive
TMEM121	14q32.33	0.04	1.00	1.10	0.93	-0.96	3.68e-15	3.58e-14	(B) Positive
UTP11	1p34.3	-0.18	-0.58	0.47	0.36	0.40	3.70e-15	3.60e-14	(A) Negative
RNF215	22q12.2	0.21	0.61	0.44	0.45	-0.40	3.73e-15	3.62e-14	(B) Positive
DUSP13B	10q22.2	-2.44	-1.73	0.67	1.25	-0.72	3.74e-15	3.63e-14	(B) Positive
RPP38	10p13	0.64	0.19	0.53	0.34	0.46	3.75e-15	3.64e-14	(A) Negative
ZNF441	19p13.2	0.01	0.62	0.68	0.69	-0.61	3.84e-15	3.72e-14	(B) Positive
BACH1	21q21.3	-0.04	-0.51	0.52	0.54	0.47	3.91e-15	3.79e-14	(A) Negative
CERS5	12q13.12	-0.49	-0.03	0.52	0.49	-0.46	3.93e-15	3.81e-14	(B) Positive
RASEF	9q21.32	2.20	3.41	1.38	1.21	-1.22	3.94e-15	3.81e-14	(B) Positive
CARD19	9q22.31	0.57	1.10	0.59	0.57	-0.52	3.97e-15	3.84e-14	(B) Positive
PLA2G4B	15q15.1	-0.03	0.45	0.54	0.50	-0.48	3.97e-15	3.84e-14	(B) Positive
TP53BP1	15q15.3	-0.33	0.06	0.43	0.46	-0.39	4.04e-15	3.90e-14	(B) Positive
GAN	16q23.2	0.20	-0.35	0.61	0.64	0.55	4.13e-15	3.99e-14	(A) Negative
TMEM80	11p15.5	-0.12	0.41	0.58	0.64	-0.53	4.16e-15	4.02e-14	(B) Positive
MOGS	2p13.1	-0.20	-0.59	0.45	0.39	0.39	4.17e-15	4.03e-14	(A) Negative
WDR6	3p21.31	-0.37	0.03	0.45	0.43	-0.40	4.27e-15	4.12e-14	(B) Positive
SOX8	16p13.3	0.62	-0.46	1.28	0.63	1.08	4.29e-15	4.13e-14	(A) Negative
IGF2BP3	7p15.3	-3.22	-4.19	1.16	0.50	0.97	4.29e-15	4.13e-14	(A) Negative
SLC25A37	8p21.2	-0.84	-1.53	0.81	0.54	0.69	4.32e-15	4.16e-14	(A) Negative
PAAF1	11q13.4	-1.21	-0.63	0.66	0.59	-0.58	4.32e-15	4.16e-14	(B) Positive
ZPR1	11q23.3	-0.43	-0.87	0.50	0.42	0.44	4.37e-15	4.20e-14	(A) Negative
KCTD21	11q14.1	0.38	0.84	0.49	0.64	-0.46	4.39e-15	4.22e-14	(B) Positive
EHBP1	2p15	-0.21	-0.73	0.60	0.44	0.52	4.39e-15	4.22e-14	(A) Negative
IRAK1	Xq28	0.09	-0.46	0.63	0.49	0.54	4.46e-15	4.28e-14	(A) Negative
KCNK12	2p16.3	-0.72	-1.40	0.77	0.68	0.67	4.57e-15	4.38e-14	(A) Negative
SCHIP1	3q25.33	1.18	0.15	1.20	0.83	1.03	4.60e-15	4.41e-14	(A) Negative
PLEKHA8P1	12q12	0.10	-0.37	0.53	0.52	0.47	4.60e-15	4.41e-14	(A) Negative
ZBTB16	11q23.2	0.92	2.06	1.28	1.26	-1.14	4.64e-15	4.45e-14	(B) Positive
CPA4	7q32.2	-1.45	-2.47	1.21	0.65	1.02	4.70e-15	4.50e-14	(A) Negative
FBN3	19p13.2	0.37	-0.03	0.46	0.33	0.40	4.74e-15	4.53e-14	(A) Negative
ALDH3A2	17p11.2	-0.37	0.43	0.90	0.94	-0.81	4.76e-15	4.55e-14	(B) Positive
